activity_code_avdth;activity_code_observe;status_active_observe;time_at_sea;fishing_time;set_duration;observe_name;comment
3;5;1;0;0;0;Arrival of vessel at the observed system;
3;16;1;0;0;0;End of searching;
15;0;1;0;0;0;At port;
15;51;1;0;0;0;Transfert at port of a crew member;
42;21;1;0;0;0;FPA zone change;
52;52;0;0;0;0;Fake set, for hosting historical samples;
99;7;0;0;0;0;End of fishing (skiff is brought on board);
4;1;1;1;0;0;Transit (steaming without searching);
4;18;1;1;0;0;Steaming at night towards a floating object;
4;101;0;1;0;0;[deprecated] Transit (steaming without searching);
4;103;1;1;0;0;Day without activity;
7;11;1;1;0;0;Drifting due to mechanical problems;
7;22;0;1;0;0;Damage;
8;10;1;1;0;0;Drifting due to bad weather;
10;9;1;1;0;0;Drifting during the night (engine stopped);
10;24;1;1;0;0;Waiting;
36;36;1;1;0;0;Refueling;
37;37;1;1;0;0;Medical evacuation;
38;38;1;1;0;0;This vessel towed;
39;39;1;1;0;0;Towing another vessel;
99;50;1;1;0;0;Training on board (priracy, fire, abandonment, etc);
99;99;1;1;0;0;Other (to detail in the comments);
913;13;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);"If the activities with code 13 have a localisation, then they count for the fishing time allocation, except for one (the fishing on FOB activity having already been taken into account via its elementary catch).
Otherwise, fishing_time=0 for activities with code 13, but whose longitude and latitude have not been recorded. "
3;2;1;1;1;0;Searching (in general);
3;3;0;1;1;0;Searching for floating objects (logs or FADs);
3;4;1;1;1;0;Steaming towards observed system associated to the tuna school;
3;8;1;1;1;0;Drifting during the day near a tuna school, a log or a FAD;
3;19;0;1;1;0;Continue steaming towards observed system associated to the tuna school;
3;102;0;1;1;0;[deprecated] Searching (in general);
6;14;0;1;1;0;Recovering a floating object (log or FAD) belonging to the vessel;
6;15;0;1;1;0;Recovering a floating object (log or FAD) that does not belong to the vessel;
6;20;0;1;1;0;Recovery of a floating object;
9;23;1;1;1;0;Bait fishing;
10;17;0;1;1;0;Anchorage on top of a seamount;
11;12;1;1;1;0;Transshipping at sea (equipment, FADs, crew member);
11;25;1;1;1;0;Offshore transshipment (details unknown);
12;26;1;1;1;0;Transshipment from a purse seiner;
13;27;1;1;1;0;Transshipment to a purse seiner;
19;29;1;1;1;0;Transshipment to a bait boat;
20;30;1;1;1;0;Transshipment from a bait boat;
35;31;1;1;1;0;Fish discard;
2;32;0;1;1;1;Activity/set created from the well plan;fishing_time=set_duration
906;6;1;1;1;1;Fishing (skiff is deployed);fishing_time=set_duration
