"year";"country";"ocean";"school_type";"parameter_a";"parameter_b";"null_set_value"
2015;SEN;1;2;0.966;137.03;108
2015;SEN;1;1;0.966;137.03;103
2015;SEN;1;3;0.966;137.03;108
2016;SEN;1;2;0.966;137.03;108
2016;SEN;1;1;0.966;137.03;103
2016;SEN;1;3;0.966;137.03;108
2015;KOR;1;2;0.966;137.03;108
2015;KOR;1;1;0.966;137.03;103
2015;KOR;1;3;0.966;137.03;108
2016;KOR;1;2;0.966;137.03;108
2016;KOR;1;1;0.966;137.03;103
2016;KOR;1;3;0.966;137.03;108
1990;FRA;1;1;1.314;120.302;108
1990;FRA;1;2;1.314;120.302;108
1991;FRA;1;1;1.314;120.302;108
1991;FRA;1;2;1.314;120.302;108
1992;FRA;1;1;0.436;129.837;103
1992;FRA;1;2;0.436;129.837;103
1993;FRA;1;1;0.436;129.837;103
1993;FRA;1;2;0.436;129.837;103
1994;FRA;1;1;0.436;129.837;103
1994;FRA;1;2;0.436;129.837;103
1995;FRA;1;1;0.436;129.837;103
1995;FRA;1;2;0.436;129.837;103
1996;FRA;1;1;0.436;129.837;103
1996;FRA;1;2;0.436;129.837;103
1997;FRA;1;1;0.436;129.837;103
1997;FRA;1;2;0.436;129.837;103
1998;FRA;1;1;0.436;129.837;103
1998;FRA;1;2;0.436;129.837;103
1999;FRA;1;1;1.109;128.733;152
1999;FRA;1;2;1.109;128.733;105
2000;FRA;1;1;1.109;128.733;152
2000;FRA;1;2;1.109;128.733;105
2001;FRA;1;1;0.831;131.833;147
2001;FRA;1;2;0.831;131.833;108.5
2002;FRA;1;1;0.831;131.833;147
2002;FRA;1;2;0.831;131.833;108.5
2003;FRA;1;1;1.028;124.71;120
2003;FRA;1;2;1.028;124.71;105
2004;FRA;1;1;1.028;124.71;120
2004;FRA;1;2;1.028;124.71;105
1990;ESP;1;1;1.478;100.062;90
1990;ESP;1;2;1.478;100.062;90
1991;ESP;1;1;1.478;100.062;90
1991;ESP;1;2;1.478;100.062;90
1992;ESP;1;1;0.478;127.984;95
1992;ESP;1;2;0.478;127.984;95
1993;ESP;1;1;0.478;127.984;95
1993;ESP;1;2;0.478;127.984;95
1994;ESP;1;1;0.478;127.984;95
1994;ESP;1;2;0.478;127.984;95
1995;ESP;1;1;0.478;127.984;95
1995;ESP;1;2;0.478;127.984;95
1996;ESP;1;1;0.478;127.984;95
1996;ESP;1;2;0.478;127.984;95
1997;ESP;1;1;0.478;127.984;95
1997;ESP;1;2;0.478;127.984;95
1998;ESP;1;1;0.478;127.984;95
1998;ESP;1;2;0.478;127.984;95
1999;ESP;1;1;0.478;127.984;95
1999;ESP;1;2;0.478;127.984;95
2000;ESP;1;1;0.478;127.984;95
2000;ESP;1;2;0.478;127.984;95
2001;ESP;1;1;0.666;128.483;120
2001;ESP;1;2;0.666;128.483;113
2002;ESP;1;1;0.666;128.483;120
2002;ESP;1;2;0.666;128.483;113
2003;ESP;1;1;0.547;122.071;117
2003;ESP;1;2;0.547;122.071;103.5
2004;ESP;1;1;0.547;122.071;117
2004;ESP;1;2;0.547;122.071;103.5
2005;ESP;1;1;0.599;122.716;121
2005;ESP;1;2;0.599;122.716;109
2006;ESP;1;1;0.599;122.716;121
2006;ESP;1;2;0.599;122.716;109
2007;ESP;1;1;0.599;122.716;121
2007;ESP;1;2;0.599;122.716;109
2008;ESP;1;1;0.599;122.716;121
2008;ESP;1;2;0.599;122.716;109
2009;ESP;1;1;0.599;122.716;121
2009;ESP;1;2;0.599;122.716;109
2010;ESP;1;1;0.599;122.716;121
2010;ESP;1;2;0.599;122.716;109
2011;ESP;1;1;0.599;122.716;121
2011;ESP;1;2;0.599;122.716;109
1981;FRA;2;1;1.9;197.76;146.1
1981;FRA;2;2;1.9;197.76;146.1
1982;FRA;2;1;1.9;197.76;146.1
1982;FRA;2;2;1.9;197.76;146.1
1983;FRA;2;1;1.65;213.98;146.1
1983;FRA;2;2;1.65;213.98;146.1
1984;FRA;2;1;1.84;184.54;143.7
1984;FRA;2;2;1.84;184.54;143.7
1985;FRA;2;1;1.71;175.42;124
1985;FRA;2;2;1.71;175.42;124
1986;FRA;2;1;1.71;175.42;124
1986;FRA;2;2;1.71;175.42;124
1987;FRA;2;1;1.78;163.06;110.9
1987;FRA;2;2;1.54;143.09;110.9
1988;FRA;2;1;1.07;174.25;108.1
1988;FRA;2;2;0.92;153.05;108.1
1989;FRA;2;1;1.83;155.32;105.7
1989;FRA;2;2;1.07;146.58;105.7
1990;FRA;2;1;0.8;157.6;101.2
1990;FRA;2;2;1;123.91;101.2
1991;FRA;2;1;0.957;132.041;101
1991;FRA;2;2;0.957;132.041;101
1992;FRA;2;1;0.957;132.041;101
1992;FRA;2;2;0.957;132.041;101
1993;FRA;2;1;0.957;132.041;101
1993;FRA;2;2;0.957;132.041;101
1994;FRA;2;1;0.957;132.041;101
1994;FRA;2;2;0.957;132.041;101
1995;FRA;2;1;0.957;132.041;101
1995;FRA;2;2;0.957;132.041;101
1996;FRA;2;1;1.06;121.626;90
1996;FRA;2;2;1.06;121.626;90
1997;FRA;2;1;1.06;121.626;90
1997;FRA;2;2;1.06;121.626;90
1998;FRA;2;1;0.655;128.526;139
1998;FRA;2;2;0.655;128.526;105
1999;FRA;2;1;0.655;128.526;139
1999;FRA;2;2;0.655;128.526;105
2000;FRA;2;1;0.405;152.048;93
2000;FRA;2;2;0.405;152.048;93
2001;FRA;2;1;0.405;152.048;93
2001;FRA;2;2;0.405;152.048;93
2002;FRA;2;1;0.405;152.048;93
2002;FRA;2;2;0.405;152.048;93
2003;FRA;2;1;0.405;152.048;93
2003;FRA;2;2;0.405;152.048;93
2004;FRA;2;1;0.405;152.048;93
2004;FRA;2;2;0.405;152.048;93
1984;ESP;2;1;1.43;139.38;132.5
1984;ESP;2;2;1.43;139.38;132.5
1985;ESP;2;1;1.3;130.26;112.8
1985;ESP;2;2;1.3;130.26;112.8
1986;ESP;2;1;1.3;130.26;112.8
1986;ESP;2;2;1.3;130.26;112.8
1987;ESP;2;1;1.17;113.69;99.7
1987;ESP;2;2;1.17;113.69;99.7
1988;ESP;2;1;1.23;107.99;96
1988;ESP;2;2;0.84;98.41;96
1989;ESP;2;1;0.69;136.55;95.4
1989;ESP;2;2;0.59;106.97;95.4
1990;ESP;2;1;0.55;136.43;105.7
1990;ESP;2;2;0.57;130.28;105.7
1991;ESP;2;1;0.5;123.387;100
1991;ESP;2;2;0.5;123.387;100
1992;ESP;2;1;0.5;123.387;100
1992;ESP;2;2;0.5;123.387;100
1993;ESP;2;1;0.5;123.387;100
1993;ESP;2;2;0.5;123.387;100
1994;ESP;2;1;0.5;123.387;100
1994;ESP;2;2;0.5;123.387;100
1995;ESP;2;1;0.5;123.387;100
1995;ESP;2;2;0.5;123.387;100
1996;ESP;2;1;0.417;123.379;121
1996;ESP;2;2;0.417;123.379;96.5
1997;ESP;2;1;0.417;123.379;121
1997;ESP;2;2;0.417;123.379;96.5
1998;ESP;2;1;0.506;130.533;120
1998;ESP;2;2;0.506;130.533;115
1999;ESP;2;1;0.506;130.533;120
1999;ESP;2;2;0.506;130.533;115
2000;ESP;2;1;0.637;129.928;120
2000;ESP;2;2;0.637;129.928;115
2001;ESP;2;1;0.637;129.928;120
2001;ESP;2;2;0.637;129.928;114
2002;ESP;2;1;0.637;129.928;120
2002;ESP;2;2;0.637;129.928;114
2003;ESP;2;1;0.318;159.692;142
2003;ESP;2;2;0.318;159.692;105.5
2004;ESP;2;1;0.318;159.692;142
2004;ESP;2;2;0.318;159.692;105.5
2005;ESP;2;1;0.476;138.011;126
2005;ESP;2;2;0.476;138.011;110
2006;ESP;2;1;0.476;138.011;126
2006;ESP;2;2;0.476;138.011;110
2007;ESP;2;1;0.476;138.011;126
2007;ESP;2;2;0.476;138.011;110
2008;ESP;2;1;0.476;138.011;126
2008;ESP;2;2;0.476;138.011;110
2009;ESP;2;1;0.476;138.011;126
2009;ESP;2;2;0.476;138.011;110
2010;ESP;2;1;0.476;138.011;126
2010;ESP;2;2;0.476;138.011;110
2011;ESP;2;1;0.476;138.011;126
2011;ESP;2;2;0.476;138.011;110
2012;ESP;1;1;0.599;122.716;121
2012;ESP;1;2;0.599;122.716;109
2012;ESP;2;1;0.476;138.011;126
2012;ESP;2;2;0.476;138.011;110
2013;ESP;1;1;0.599;122.716;121
2013;ESP;1;2;0.599;122.716;109
2013;ESP;2;1;0.476;138.011;126
2013;ESP;2;2;0.476;138.011;110
2014;ESP;1;1;0.599;122.716;121
2014;ESP;1;2;0.599;122.716;109
2004;FRA;2;3;0.405;152.048;93
2003;FRA;2;3;0.405;152.048;93
2002;FRA;2;3;0.405;152.048;93
2001;FRA;2;3;0.405;152.048;93
2000;FRA;2;3;0.405;152.048;93
1999;FRA;2;3;0.655;128.526;105
1998;FRA;2;3;0.655;128.526;105
2004;FRA;1;3;0.966;137.03;108
2003;FRA;1;3;0.966;137.03;108
2002;FRA;1;3;0.966;137.03;108
2001;FRA;1;3;0.966;137.03;108
2000;FRA;1;3;0.966;137.03;108
1999;FRA;1;3;0.966;137.03;108
1998;FRA;1;3;0.966;137.03;108
2014;ESP;2;2;0.33235;127.1;120
2014;ESP;2;1;0.33235;127.1;120
2014;ESP;2;3;0.33235;127.1;120
2015;ESP;2;2;0.33235;127.1;120
2015;ESP;2;1;0.33235;127.1;120
2015;ESP;2;3;0.33235;127.1;120
2016;ESP;2;2;0.33235;127.1;120
2016;ESP;2;1;0.33235;127.1;120
2016;ESP;2;3;0.33235;127.1;120
2014;ESP;1;3;0.599;122.716;109
2015;ESP;1;2;0.599;122.716;109
2015;ESP;1;1;0.599;122.716;109
2015;ESP;1;3;0.599;122.716;109
2016;ESP;1;2;0.599;122.716;109
2016;ESP;1;1;0.599;122.716;109
2016;ESP;1;3;0.599;122.716;109
2005;FRA;1;2;0.79339;121.291;109.7
2005;FRA;1;1;0.70977;131.527;139
2005;FRA;1;3;0.75851;125.509;120.4
2005;FRA;2;2;0.56406;120.866;98.9
2005;FRA;2;1;0.56406;120.866;113.3
2005;FRA;2;3;0.56406;120.866;104.3
2006;FRA;1;2;0.79339;121.291;109.6
2006;FRA;1;1;0.70977;131.527;139.5
2006;FRA;1;3;0.75851;125.509;120.4
2006;FRA;2;2;0.56406;120.866;99
2006;FRA;2;1;0.56406;120.866;114.3
2006;FRA;2;3;0.56406;120.866;99.8
2007;FRA;1;2;0.79339;121.291;109.7
2007;FRA;1;1;0.70977;131.527;134.5
2007;FRA;1;3;0.75851;125.509;120.4
2007;FRA;2;2;0.56406;120.866;98.4
2007;FRA;2;1;0.56406;120.866;114.4
2007;FRA;2;3;0.56406;120.866;97.9
2008;FRA;1;2;0.79339;121.291;106.2
2008;FRA;1;1;0.70977;131.527;135.3
2008;FRA;1;3;0.75851;125.509;111.7
2008;FRA;2;2;0.56406;118.135;94.9
2008;FRA;2;1;0.56406;118.135;109.8
2008;FRA;2;3;0.56406;118.135;97
2009;FRA;1;2;0.79339;121.291;103
2009;FRA;1;1;0.70977;131.527;133.7
2009;FRA;1;3;0.75851;125.509;111.7
2009;FRA;2;2;0.56406;118.135;95.4
2009;FRA;2;1;0.56406;118.135;111.9
2009;FRA;2;3;0.56406;118.135;90.3
2010;FRA;1;2;0.79339;121.291;103.8
2010;FRA;1;1;0.70977;131.527;134.4
2010;FRA;1;3;0.75851;125.509;103.1
2010;FRA;2;2;0.56406;118.135;96.2
2010;FRA;2;1;0.56406;118.135;109
2010;FRA;2;3;0.56406;118.135;92.3
2011;FRA;1;2;0.64664;122.234;109.3
2011;FRA;1;1;0.56302;132.471;139.8
2011;FRA;1;3;0.59485;127.123;103.1
2011;FRA;2;2;0.56406;130.771;119.1
2011;FRA;2;1;0.56406;130.771;133.5
2011;FRA;2;3;0.56406;130.771;125
2012;FRA;1;2;0.64664;122.234;109.4
2012;FRA;1;1;0.56302;132.471;141.5
2012;FRA;1;3;0.59485;127.123;118.5
2012;FRA;2;2;0.56406;130.771;117.9
2012;FRA;2;1;0.56406;130.771;133.7
2012;FRA;2;3;0.56406;130.771;124.6
2013;FRA;1;2;0.64664;122.234;109.8
2013;FRA;1;1;0.56302;132.471;140.8
2013;FRA;1;3;0.59485;127.123;109.8
2013;FRA;2;2;0.56406;130.771;118.1
2013;FRA;2;1;0.56406;130.771;132.9
2013;FRA;2;3;0.56406;130.771;124.4
2014;FRA;1;2;0.74227;128.525;112.6
2014;FRA;1;1;0.65865;138.761;143.5
2014;FRA;1;3;0.70531;133.586;109.8
2014;FRA;2;2;0.56406;141.223;126
2014;FRA;2;1;0.56406;141.223;142
2014;FRA;2;3;0.56406;141.223;133.1
2014;KOR;2;2;0.33235;127.1;120
2014;KOR;2;1;0.33235;127.1;120
2014;KOR;2;3;0.33235;127.1;120
2014;SYC;2;2;0.33235;127.1;120
2014;SYC;2;1;0.33235;127.1;120
2014;SYC;2;3;0.33235;127.1;120
2015;FRA;1;2;0.68568;128.525;111.2
2015;FRA;1;1;0.60206;138.829;142.7
2015;FRA;1;3;0.64752;133.745;123
2015;FRA;2;2;0.56406;141.223;125.7
2015;FRA;2;1;0.56406;141.223;140.2
2015;FRA;2;3;0.56406;141.223;133.1
2015;KOR;2;2;0.33235;127.1;120
2015;KOR;2;1;0.33235;127.1;120
2015;KOR;2;3;0.33235;127.1;120
2015;SYC;2;2;0.33235;127.1;120
2015;SYC;2;1;0.33235;127.1;120
2015;SYC;2;3;0.33235;127.1;120
2016;FRA;1;2;0.68568;128.525;111.2
2016;FRA;1;1;0.60206;138.829;142.7
2016;FRA;1;3;0.64752;133.745;123
2016;FRA;2;2;0.56406;141.223;125.7
2016;FRA;2;1;0.56406;141.223;140.2
2016;FRA;2;3;0.56406;141.223;133.1
2016;KOR;2;2;0.33235;127.1;120
2016;KOR;2;1;0.33235;127.1;120
2016;KOR;2;3;0.33235;127.1;120
2016;SYC;2;2;0.33235;127.1;120
2016;SYC;2;1;0.33235;127.1;120
2016;SYC;2;3;0.33235;127.1;120
2017;ESP;1;2;0.599;122.716;109
2017;ESP;1;1;0.599;122.716;109
2017;ESP;1;3;0.599;122.716;109
2017;ESP;2;2;0.33235;127.1;120
2017;ESP;2;1;0.33235;127.1;120
2017;ESP;2;3;0.33235;127.1;120
2017;FRA;1;2;0.68568;128.525;111.2
2017;FRA;1;1;0.60206;138.829;142.7
2017;FRA;1;3;0.64752;133.745;123
2017;FRA;2;2;0.56406;141.223;125.7
2017;FRA;2;1;0.56406;141.223;140.2
2017;FRA;2;3;0.56406;141.223;133.1
2017;KOR;2;2;0.33235;127.1;120
2017;KOR;2;1;0.33235;127.1;120
2017;KOR;2;3;0.33235;127.1;120
2017;SEN;1;2;0.599;122.716;109
2017;SEN;1;1;0.599;122.716;109
2017;SEN;1;3;0.599;122.716;109
2017;SYC;2;2;0.33235;127.1;120
2017;SYC;2;1;0.33235;127.1;120
2017;SYC;2;3;0.33235;127.1;120
2018;ESP;1;2;0.599;122.716;109
2018;ESP;1;1;0.599;122.716;109
2018;ESP;1;3;0.599;122.716;109
2018;ESP;2;2;0.33235;127.1;120
2018;ESP;2;1;0.33235;127.1;120
2018;ESP;2;3;0.33235;127.1;120
2018;FRA;1;2;0.68568;128.525;111.2
2018;FRA;1;1;0.60206;138.829;142.7
2018;FRA;1;3;0.64752;133.745;123
2018;FRA;2;2;0.56406;141.223;125.7
2018;FRA;2;1;0.56406;141.223;140.2
2018;FRA;2;3;0.56406;141.223;133.1
2018;KOR;2;2;0.33235;127.1;120
2018;KOR;2;1;0.33235;127.1;120
2018;KOR;2;3;0.33235;127.1;120
2018;SEN;1;2;0.599;122.716;109
2018;SEN;1;1;0.599;122.716;109
2018;SEN;1;3;0.599;122.716;109
2018;SYC;2;2;0.33235;127.1;120
2018;SYC;2;1;0.33235;127.1;120
2018;SYC;2;3;0.33235;127.1;120
2019;ESP;2;2;0.33235;127.1;120
2019;ESP;2;1;0.33235;127.1;120
2019;ESP;2;3;0.33235;127.1;120
2019;FRA;1;2;0.68568;128.525;111.2
2019;FRA;1;1;0.60206;138.829;142.7
2019;FRA;1;3;0.64752;133.745;123
2019;FRA;2;2;0.56406;141.223;125.7
2019;FRA;2;1;0.56406;141.223;140.2
2019;FRA;2;3;0.56406;141.223;133.1
2019;KOR;2;2;0.33235;127.1;120
2019;KOR;2;1;0.33235;127.1;120
2019;KOR;2;3;0.33235;127.1;120
2019;SEN;1;2;0.599;122.716;109
2019;SEN;1;1;0.599;122.716;109
2019;SEN;1;3;0.599;122.716;109
2019;SYC;2;2;0.33235;127.1;120
2019;SYC;2;1;0.33235;127.1;120
2019;SYC;2;3;0.33235;127.1;120
2020;ESP;2;2;0.33235;127.1;120
2020;ESP;2;1;0.33235;127.1;120
2020;ESP;2;3;0.33235;127.1;120
2020;FRA;1;2;0.68568;128.525;111.2
2020;FRA;1;1;0.60206;138.829;142.7
2020;FRA;1;3;0.64752;133.745;123
2020;FRA;2;2;0.56406;141.223;125.7
2020;FRA;2;1;0.56406;141.223;140.2
2020;FRA;2;3;0.56406;141.223;133.1
2020;KOR;2;2;0.33235;127.1;120
2020;KOR;2;1;0.33235;127.1;120
2020;KOR;2;3;0.33235;127.1;120
2020;SEN;1;2;0.599;122.716;109
2020;SEN;1;1;0.599;122.716;109
2020;SEN;1;3;0.599;122.716;109
2020;SYC;2;2;0.33235;127.1;120
2020;SYC;2;1;0.33235;127.1;120
2020;SYC;2;3;0.33235;127.1;120
