vessel_type_code;vessel_type_label;vessel_simple_type_code;vessel_simple_type_label
1;Bait boat / glacier;2;Bait boat
2;Bait boat / freezer;2;Bait boat
3;Mix;5;Mix
4;Purse seiner with bait;1;Purse seiner
5;Purse seiner without bait;1;Purse seiner
6;Large purse seiner;1;Purse seiner
7;Longliner;3;Longliner
8;Mother ship;6;Other
9;Factory boat;6;Other
10;Supply vessel;4;Assistance
11;Cargo;6;Other
12;Bait boat / supply;4;Assistance
13;Scientific longliner;3;Longliner
14;Industrial longliner;3;Longliner
15;Semi industrial longliner;3;Longliner
16;Schooner;6;Other
17;Handliner;6;Other
99;Inconnu;6;Other
